fid,name,population,county,latitude,longitude,level,enrollment,level.1
2613,ST AUGUSTINE HIGH SCHOOL,781,SAN DIEGO,32.734711,-117.124077,Secondary,731,Secondary
2069,ST CHARLES BORROMEO ACADEMY,195,SAN DIEGO,32.74361,-117.208713,Elementary,183,Elementary
2624,ST CHARLES CATHOLIC SCHOOL,250,SAN DIEGO,32.578762,-117.094245,Elementary,237,Elementary
2131,ST COLUMBA SCHOOL,183,SAN DIEGO,32.804082,-117.133711,Elementary,172,Elementary
2604,ST DIDACUS SCHOOL,241,SAN DIEGO,32.761767,-117.121201,Elementary,230,Elementary
2708,ST EPHREM MARONITE CATHOLIC ACADEMY,31,SAN DIEGO,32.805301,-117.003166,Elementary,23,Elementary
2819,ST FRANCIS OF ASSISI CATHOLIC SCHOOL,246,SAN DIEGO,33.196529,-117.252154,Elementary,229,Elementary
2096,ST JAMES ACADEMY,249,SAN DIEGO,32.983916,-117.263536,Elementary,234,Elementary
2726,ST JAMES LUTHERAN PRESCHOOL & KINDERGARTEN,18,SAN DIEGO,32.576782,-117.115176,Elementary,14,Elementary
20067,ST JOHN CATHOLIC SCHOOL,497,SAN DIEGO,33.044821,-117.26976,Elementary,474,Elementary
2611,ST JOHN OF THE CROSS SCHOOL,552,SAN DIEGO,32.745024,-117.023508,Elementary,526,Elementary
2618,ST JOHN'S EPISCOPAL SCHOOL,351,SAN DIEGO,32.626918,-117.065621,Elementary,329,Elementary
2420,ST JOSEPH ACADEMY,289,SAN DIEGO,33.151996,-117.194574,Combined elementary and secondary,273,Combined elementary and secondary
2119,ST KIERAN CATHOLIC SCHOOL,131,SAN DIEGO,32.813172,-116.927835,Elementary,122,Elementary
2151,ST MARTIN OF TOURS ACADEMY,258,SAN DIEGO,32.769391,-117.030812,Elementary,247,Elementary
2077,ST MARY STAR OF THE SEA SCHOOL,301,SAN DIEGO,33.188468,-117.371961,Elementary,287,Elementary
2085,ST MARY'S SCHOOL,257,SAN DIEGO,33.112066,-117.073054,Elementary,243,Elementary
2792,ST MICHAEL ACADEMY,148,SAN DIEGO,32.673421,-117.055693,Elementary,139,Elementary
2839,ST MICHAEL SCHOOL,595,SAN DIEGO,32.994797,-117.058027,Combined elementary and secondary,564,Combined elementary and secondary
2838,ST PATRICK CATHOLIC SCHOOL,500,SAN DIEGO,33.153496,-117.336192,Elementary,476,Elementary
2087,ST PATRICK'S SCHOOL,201,SAN DIEGO,32.743922,-117.129847,Elementary,191,Elementary
2133,ST PAUL'S LUTHERAN SCHOOL,126,SAN DIEGO,32.800008,-117.245475,Elementary,115,Elementary
2071,ST PETER THE APOSTLE CATHOLIC SCHOOL,145,SAN DIEGO,33.376148,-117.227472,Elementary,136,Elementary
2622,ST PIUS X SCHOOL,277,SAN DIEGO,32.616597,-117.055267,Elementary,264,Elementary
2803,ST RITA'S SCHOOL,210,SAN DIEGO,32.705143,-117.083402,Elementary,196,Elementary
2616,ST ROSE OF LIMA SCHOOL,336,SAN DIEGO,32.635146,-117.077043,Elementary,323,Elementary
2013,ST STEPHEN LUTHERAN SCHOOL,57,SAN DIEGO,33.388869,-117.228982,Elementary,52,Elementary
2139,ST THERESE ACADEMY,294,SAN DIEGO,32.794013,-117.065738,Elementary,285,Elementary
2809,ST VINCENT DE PAUL ELEMENTARY SCHOOL,218,SAN DIEGO,32.751025,-117.173131,Elementary,205,Elementary
2714,STEIN EDUCATION CENTER,146,SAN DIEGO,32.786177,-117.096672,Combined elementary and secondary,136,Combined elementary and secondary
2107,STELLA MARIS ACADEMY,213,SAN DIEGO,32.844732,-117.273507,Elementary,198,Elementary
2826,SUMMERHILL SCHOOL,15,SAN DIEGO,33.124154,-117.078994,Secondary,13,Secondary
2142,TABERNACLE CHRISTIAN ACADEMY,84,SAN DIEGO,32.723131,-117.082403,Combined elementary and secondary,75,Combined elementary and secondary
2039,TAPROOT MONTESSORI PRESCHOOL & KINDERGARTEN,5,SAN DIEGO,32.80756,-116.92964,Elementary,4,Elementary
2049,TAPROOT MONTESSORI PRESCHOOL & KINDERGARTEN,8,SAN DIEGO,32.719456,-116.880263,Elementary,7,Elementary
2059,TAPROOT MONTESSORI-LA MESA,8,SAN DIEGO,32.77199,-117.030679,Elementary,7,Elementary
